Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
HUN,857,8.826056248240196e-05,9709886,-0.15583459998993165,1.341178548534611,1.1853439485446793,48,2021
ITA,4786,8.102769391475416e-05,59066225,1.5647688855669595,1.1187203834077994,2.6834892689747587,71,2021
JPN,4,3.1826458469538974e-08,125681593,-0.5293837914330541,-1.3724339751511008,-1.901817766584155,0,2021
KOR,542,1.047446707573519e-05,51744876,-0.29378066716998275,-1.0512542593760208,-1.3450349265460035,9,2021
LTU,82,2.9334734722774236e-05,2795321,-0.49522571765513673,-0.4711772822652193,-0.966402999920356,15,2021
LUX,22,3.4425023862800634e-05,639070,-0.5215011590227655,-0.31461749254081306,-0.8361186515635786,17,2021
LVA,139,7.38120246691469e-05,1883162,-0.4702640483558894,0.8967912102828168,0.4265271619269274,36,2021
MKD,74,3.583375462207011e-05,2065092,-0.49872910983748725,-0.2712897786560988,-0.7700188884935861,18,2021
MNE,15,2.4186799489819778e-05,620173,-0.5245666271823223,-0.6295100675776922,-1.1540766947600145,12,2021
NLD,450,2.566529433387297e-05,17533405,-0.3340696772670136,-0.5840366503461544,-0.918106327613168,15,2021
NOR,321,5.9352996864090884e-05,5408320,-0.39056187620741545,0.45208123595566635,0.0615193597482509,31,2021
NZL,45,8.78460156951548e-06,5122600,-0.5114289064985078,-1.1032287113253092,-1.614657617823817,4,2021
POL,1244,3.292658240284859e-05,37781024,0.013641996831273972,-0.3607043990860095,-0.3470624022547355,24,2021
PRT,626,6.0780103895140535e-05,10299423,-0.2569950492553025,0.4959741407689667,0.2389790915136642,33,2021
ROU,244,1.2764746866176172e-05,19115146,-0.42428202596253906,-0.9808131287176478,-1.4050951546801869,8,2021
SVK,440,8.07747473173146e-05,5447247,-0.3384489174949517,1.1109406158902244,0.7724916983952728,42,2021
SVN,285,0.00013526295831005783,2107007,-0.4063271410279927,2.7868106147875213,2.3804834737595284,67,2021
TUR,762,8.960200904166583e-06,85042736,-0.1974373821553439,-1.0978278796333436,-1.2952652617886875,9,2021
USA,10983,3.3091916209508556e-05,331893745,4.278584054820219,-0.355619299734485,3.922964755085734,91,2021
