Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
GBR,1225,1.881251735454726e-05,65116219,0.021498063515298458,-0.6877055393136928,-0.6662074757983943,13,2015
GRC,194,1.7928296609435664e-05,10820883,-0.369849510043288,-0.7178391563470211,-1.0876886663903091,7,2015
HRV,169,4.0203596723192764e-05,4203604,-0.3793390244360762,0.04128730233575451,-0.3380517221003217,18,2015
HUN,869,8.828584049542478e-05,9843028,-0.11363262143800588,1.6798961315741054,1.5662635101360995,45,2015
ITA,2828,4.656632468959379e-05,60730582,0.6299657263808796,0.2581245671101499,0.8880902934910295,35,2015
JPN,272,2.1393570917328005e-06,127141000,-0.34024222513778873,-1.2559150377591841,-1.596157262896973,0,2015
KOR,662,1.2976588998514494e-05,51014947,-0.19220580061029238,-0.8865898463002224,-1.0787956469105149,7,2015
LTU,78,2.6851090050982646e-05,2904910,-0.41388085682582537,-0.4137566725085132,-0.8276375293343385,11,2015
LUX,27,4.740135251859186e-05,569604,-0.43323946618711334,0.286581724387119,-0.14665774179999436,21,2015
LVA,38,1.9215919681501187e-05,1977527,-0.4290640798542865,-0.6739578735888302,-1.1030219534431167,7,2015
MKD,87,4.2024397336329464e-05,2070226,-0.4104646316444216,0.10333889824508366,-0.3071257333993379,18,2015
MNE,21,3.375342958954222e-05,622159,-0.4355169496413825,-0.17852982735831943,-0.6140467769997019,14,2015
NLD,796,4.698958785113722e-05,16939923,-0.1413420034649475,0.2725490760178841,0.1312070725529366,25,2015
NOR,172,3.3149552471405135e-05,5188607,-0.3782002827089416,-0.19910953204601747,-0.5773098147549591,15,2015
NZL,149,3.232524840543238e-05,4609400,-0.3869306359503068,-0.22720123107068071,-0.6141318670209875,14,2015
POL,525,1.3820731476297366e-05,37986412,-0.24420833948277187,-0.8578220682451356,-1.1020304077279075,7,2015
PRT,264,2.548735884926892e-05,10358076,-0.34327886974348093,-0.46023166644643043,-0.8035105361899113,11,2015
ROU,783,3.951429014369273e-05,19815616,-0.1462765509491974,0.01779622208227552,-0.12848032886692187,21,2015
SVK,229,4.2221313060711484e-05,5423801,-0.35656418989338445,0.11004964673088097,-0.24651454316250349,19,2015
SVN,346,0.00016767375920206674,2063531,-0.3121532625351356,4.385380200574351,4.073226938039216,81,2015
TUR,1207,1.5370037211407655e-05,78529413,0.014665613152490934,-0.8050228255815172,-0.7903572124290262,11,2015
USA,14823,4.6215147759676514e-05,320738994,5.18303473204067,0.24615670594474423,5.4291914379854145,100,2015
ALB,65,2.260004081915065e-05,2876101,-0.4184344214606271,-0.6969906117108638,-1.115425033171491,9,2016
AUS,1505,6.221345896621404e-05,24190907,0.06483216519167574,0.6728092744223462,0.737641439614022,34,2016
BEL,334,2.9475559201660656e-05,11331422,-0.3281575382596066,-0.45924075981712675,-0.7873982980767333,13,2016
BGR,172,2.413079338962168e-05,7127822,-0.3825250292579907,-0.6440584287584876,-1.0265834580164783,10,2016
CAN,1363,3.7746313039562155e-05,36109487,0.017176710119018106,-0.17324479695086395,-0.15606808683184584,22,2016
